ckpt_name,epoch,step,loss_train,loss_val,acc_mean,acc_median,acc_std,acc_tail,lr
ckpt_e55_s85910.safetensors,55,85910,36.770095,42.007422,4.034380,3.079070,3.665407,4.268983,0.00009747
ckpt_e56_s87472.safetensors,56,87472,36.225827,34.939370,3.813071,3.006571,3.105266,3.925386,0.00009738
ckpt_e57_s89034.safetensors,57,89034,36.415271,34.630347,3.830034,3.044089,3.049196,3.923160,0.00009728
ckpt_e58_s90596.safetensors,58,90596,36.163668,35.020799,3.847165,3.047404,3.079834,3.963659,0.00009719
ckpt_e59_s92158.safetensors,59,92158,36.069188,35.156306,3.912944,3.137140,3.020799,4.004333,0.00009709
ckpt_e60_s93720.safetensors,60,93720,35.597560,34.296789,3.813187,3.026364,3.029217,3.904684,0.00009699
ckpt_e61_s95282.safetensors,61,95282,36.172718,34.424809,3.820501,3.031132,3.036376,3.918744,0.00009689
ckpt_e62_s96844.safetensors,62,96844,35.569353,34.087493,3.788623,3.000478,3.030210,3.880635,0.00009679
ckpt_e63_s98406.safetensors,63,98406,35.546216,34.634818,3.835812,3.047235,3.044328,3.930294,0.00009669
ckpt_e64_s99968.safetensors,64,99968,35.455032,34.147572,3.783238,2.990401,3.043509,3.872479,0.00009658
ckpt_e65_s101530.safetensors,65,101530,32.526041,34.185985,3.794856,3.004318,3.033624,3.890377,0.00009648
ckpt_e66_s103092.safetensors,66,103092,32.540965,34.217445,3.811171,3.028572,3.020009,3.903504,0.00009637
ckpt_e67_s104654.safetensors,67,104654,32.471283,34.105864,3.786603,2.993774,3.035814,3.877456,0.00009626
ckpt_e68_s106216.safetensors,68,106216,32.341005,36.305760,3.902699,3.078496,3.167970,4.046371,0.00009615
ckpt_e69_s107778.safetensors,69,107778,32.199861,34.122338,3.805815,3.025509,3.017431,3.904140,0.00009604
ckpt_e70_s109340.safetensors,70,109340,32.019050,33.870921,3.794383,3.014977,2.998371,3.883403,0.00009592
ckpt_e71_s110902.safetensors,71,110902,32.631103,34.111809,3.826107,3.053831,2.994442,3.908408,0.00009581
ckpt_e72_s112464.safetensors,72,112464,32.542944,35.311905,3.844383,3.039680,3.115210,3.962936,0.00009569
