ckpt_name,epoch,step,loss_train,loss_val,acc_mean,acc_median,acc_std,acc_tail,lr
ckpt_e55_s85910.safetensors,55,85910,29.944190,28.439282,2.851389,1.957278,3.182881,2.429831,0.00009747
ckpt_e56_s87472.safetensors,56,87472,29.528580,28.484882,2.869731,1.981816,3.179911,2.459849,0.00009738
ckpt_e57_s89034.safetensors,57,89034,29.950478,28.220155,2.831611,1.940144,3.176511,2.397375,0.00009728
ckpt_e58_s90596.safetensors,58,90596,29.683705,28.179301,2.829786,1.935326,3.173563,2.391059,0.00009719
ckpt_e59_s92158.safetensors,59,92158,29.765266,28.166647,2.828602,1.941890,3.169750,2.394417,0.00009709
ckpt_e60_s93720.safetensors,60,93720,29.154479,27.985033,2.817692,1.933234,3.159508,2.379071,0.00009699
ckpt_e61_s95282.safetensors,61,95282,29.459469,28.106970,2.831197,1.943523,3.163690,2.402222,0.00009689
ckpt_e62_s96844.safetensors,62,96844,29.399898,27.944108,2.815772,1.932517,3.156150,2.376962,0.00009679
ckpt_e63_s98406.safetensors,63,98406,29.221926,28.016737,2.826073,1.945868,3.153872,2.385864,0.00009669
ckpt_e64_s99968.safetensors,64,99968,29.170251,28.082784,2.853011,1.967507,3.145593,2.423832,0.00009658
ckpt_e65_s101530.safetensors,65,101530,26.472182,28.132946,2.839624,1.947688,3.161111,2.397709,0.00009648
ckpt_e66_s103092.safetensors,66,103092,26.767099,28.000239,2.818782,1.933953,3.158134,2.381464,0.00009637
ckpt_e67_s104654.safetensors,67,104654,26.498413,28.021940,2.854398,1.979094,3.136531,2.432077,0.00009626
ckpt_e68_s106216.safetensors,68,106216,26.298646,27.719597,2.815581,1.947486,3.130495,2.372403,0.00009615
ckpt_e69_s107778.safetensors,69,107778,26.435503,27.939598,2.859661,1.995088,3.117790,2.438216,0.00009604
ckpt_e70_s109340.safetensors,70,109340,26.082345,27.696872,2.816320,1.940942,3.126235,2.374237,0.00009592
ckpt_e71_s110902.safetensors,71,110902,26.492707,27.977934,2.853394,1.975055,3.135251,2.405730,0.00009581
ckpt_e72_s112464.safetensors,72,112464,26.683589,28.013233,2.828709,1.941026,3.153085,2.389468,0.00009569
ckpt_e73_s114026.safetensors,73,114026,28.673097,27.543448,2.814778,1.939196,3.114690,2.370453,0.00009557
ckpt_e74_s115588.safetensors,74,115588,28.827106,27.420686,2.800832,1.931721,3.106425,2.345733,0.00009545
ckpt_e75_s117150.safetensors,75,117150,28.426303,27.625004,2.828554,1.957627,3.112681,2.402040,0.00009533
ckpt_e76_s118712.safetensors,76,118712,28.647743,27.418419,2.827644,1.971158,3.090651,2.382188,0.00009521
ckpt_e77_s120274.safetensors,77,120274,28.547679,27.511768,2.820429,1.954278,3.102553,2.364619,0.00009508
ckpt_e78_s121836.safetensors,78,121836,28.621264,27.166416,2.790930,1.929582,3.083312,2.329592,0.00009496
ckpt_e79_s123398.safetensors,79,123398,28.491849,27.252445,2.808143,1.949253,3.081732,2.346911,0.00009483
ckpt_e80_s124960.safetensors,80,124960,28.241347,27.292019,2.810350,1.951870,3.084086,2.360308,0.00009470
ckpt_e81_s126522.safetensors,81,126522,28.689521,27.146798,2.796968,1.937922,3.075817,2.334818,0.00009457
ckpt_e82_s128084.safetensors,82,128084,28.319016,26.959352,2.791413,1.941783,3.060436,2.326743,0.00009444
ckpt_e83_s129646.safetensors,83,129646,28.382601,27.202009,2.823076,1.967185,3.066044,2.370874,0.00009430
ckpt_e84_s131208.safetensors,84,131208,27.872104,27.126617,2.829502,1.984566,3.047536,2.379885,0.00009417
ckpt_e85_s132770.safetensors,85,132770,28.144089,26.674156,2.773972,1.932016,3.036781,2.298298,0.00009403
