ckpt_name,epoch,step,avg_loss,acc_mean,acc_median,acc_std,lr,huber_loss_delta
ckpt_e1_s1000.safetensors,1,1000,53.133220,5.903566,4.406628,4.537508,0.00003000,37.776606
ckpt_e1_s2000.safetensors,1,2000,40.860856,4.894568,3.006162,4.740187,0.00003000,37.776606
ckpt_e1_s3000.safetensors,1,3000,35.621350,4.780694,2.908223,4.780419,0.00003000,37.776606
ckpt_e1_s4000.safetensors,1,4000,32.780716,4.678930,2.789980,4.836553,0.00002999,37.776606
ckpt_e1_s5000.safetensors,1,5000,30.852086,4.523693,2.590466,4.865936,0.00002999,37.776606
ckpt_e1_s6000.safetensors,1,6000,29.610911,4.481021,2.517765,4.862650,0.00002998,37.776606
ckpt_e1_s7000.safetensors,1,7000,28.573789,4.430652,2.442918,4.868412,0.00002998,37.776606
ckpt_e1_s8000.safetensors,1,8000,27.726319,4.527379,2.550793,4.841647,0.00002997,37.776606
ckpt_e1_s9000.safetensors,1,9000,26.997714,4.318073,2.293648,4.882395,0.00002996,37.776606
ckpt_e1_s10000.safetensors,1,10000,26.402207,3.980500,1.874921,4.978509,0.00002995,37.776606
ckpt_e1_s11000.safetensors,1,11000,25.849947,4.022318,1.885581,4.983044,0.00002994,37.776606
ckpt_e1_s12000.safetensors,1,12000,25.367207,3.962882,1.819599,4.991517,0.00002993,37.776606
ckpt_e1_s13000.safetensors,1,13000,24.960289,3.897586,1.794271,4.983507,0.00002992,37.776606
ckpt_e1_s14000.safetensors,1,14000,24.619671,3.962000,1.858637,4.962838,0.00002991,37.776606
ckpt_e1_s15000.safetensors,1,15000,24.301341,3.804677,1.690872,4.999812,0.00002989,37.776606
ckpt_e1_s16000.safetensors,1,16000,24.014620,3.839566,1.762120,4.969825,0.00002988,37.776606
ckpt_e1_s17000.safetensors,1,17000,23.751674,3.729385,1.593007,5.030825,0.00002986,37.776606
ckpt_e1_s18000.safetensors,1,18000,23.499867,3.729127,1.581996,5.036480,0.00002984,37.776606
ckpt_e1_s19000.safetensors,1,19000,23.286072,3.699846,1.594679,5.014600,0.00002983,37.776606
ckpt_e1_s20000.safetensors,1,20000,23.074059,3.646157,1.501700,5.049557,0.00002981,37.776606
ckpt_e1_s21000.safetensors,1,21000,22.887188,3.774595,1.663104,5.000844,0.00002979,37.776606
ckpt_e1_s22000.safetensors,1,22000,22.707263,3.652864,1.536655,5.028580,0.00002977,37.776606
ckpt_e1_s23000.safetensors,1,23000,22.536575,3.614945,1.519225,5.036369,0.00002975,37.776606
ckpt_e1_s24000.safetensors,1,24000,22.389646,3.524897,1.406794,5.071122,0.00002972,37.776606
ckpt_e1_s25000.safetensors,1,25000,22.233920,3.552037,1.423305,5.063457,0.00002970,37.776606
ckpt_e1_s26000.safetensors,1,26000,22.099622,3.533885,1.482400,5.037257,0.00002967,37.776606
ckpt_e1_s27000.safetensors,1,27000,21.965337,3.487324,1.375755,5.078052,0.00002965,37.776606
ckpt_e1_s28000.safetensors,1,28000,21.841801,3.615406,1.506722,5.020905,0.00002962,37.776606
ckpt_e1_s29000.safetensors,1,29000,21.726060,3.474607,1.366334,5.073477,0.00002960,37.776606
ckpt_e1_s30000.safetensors,1,30000,21.618722,3.557195,1.436610,5.066514,0.00002957,37.776606
ckpt_e1_s31000.safetensors,1,31000,21.509608,3.599504,1.480314,5.035202,0.00002954,37.776606
ckpt_e1_s32000.safetensors,1,32000,21.415379,3.492692,1.353660,5.063501,0.00002951,37.776606
ckpt_e1_s33000.safetensors,1,33000,21.316467,3.402415,1.276326,5.089700,0.00002948,37.776606
ckpt_e1_s34000.safetensors,1,34000,21.223122,3.392137,1.296960,5.076170,0.00002944,37.776606
ckpt_e1_s35000.safetensors,1,35000,21.142413,3.517654,1.395801,5.056046,0.00002941,37.776606
ckpt_e1_s36000.safetensors,1,36000,21.059887,3.373343,1.232814,5.105859,0.00002938,37.776606
ckpt_e1_s37000.safetensors,1,37000,20.982278,3.426657,1.302632,5.078181,0.00002934,37.776606
ckpt_e2_s38000.safetensors,2,38000,11.380853,3.422081,1.274609,5.098883,0.00002931,37.776606
ckpt_e2_s39000.safetensors,2,39000,11.329623,3.541979,1.381734,5.072186,0.00002927,37.776606
ckpt_e2_s40000.safetensors,2,40000,11.205064,3.524802,1.363409,5.075246,0.00002923,37.776606
ckpt_e2_s41000.safetensors,2,41000,11.236286,3.379375,1.252456,5.099999,0.00002919,37.776606
ckpt_e2_s42000.safetensors,2,42000,11.194657,3.345305,1.220889,5.109925,0.00002915,37.776606
ckpt_e2_s43000.safetensors,2,43000,11.185473,3.413242,1.283525,5.088317,0.00002911,37.776606
ckpt_e2_s44000.safetensors,2,44000,11.162726,3.325146,1.215260,5.104962,0.00002907,37.776606
ckpt_e2_s45000.safetensors,2,45000,11.135415,3.363947,1.241551,5.097202,0.00002903,37.776606
ckpt_e2_s46000.safetensors,2,46000,11.118409,3.357461,1.230927,5.098206,0.00002899,37.776606
ckpt_e2_s47000.safetensors,2,47000,11.110285,3.430212,1.291078,5.087247,0.00002894,37.776606
ckpt_e2_s48000.safetensors,2,48000,11.092866,3.362772,1.231001,5.093959,0.00002890,37.776606
ckpt_e2_s49000.safetensors,2,49000,11.077543,3.350328,1.247544,5.093857,0.00002885,37.776606
ckpt_e2_s50000.safetensors,2,50000,11.056056,3.352956,1.211069,5.106814,0.00002881,37.776606
