ckpt_name,epoch,step,avg_loss,acc_mean,acc_median,acc_std,lr
ckpt_e1_s1000.safetensors,1,1000,44.501503,4.030844,2.725381,3.637457,0.00010000
ckpt_e1_s2000.safetensors,1,2000,34.627959,3.735353,2.485117,3.654551,0.00010000
ckpt_e1_s3000.safetensors,1,3000,30.616173,3.656429,2.320349,3.744265,0.00010000
ckpt_e1_s4000.safetensors,1,4000,28.351932,3.311596,1.966245,3.757477,0.00010000
ckpt_e1_s5000.safetensors,1,5000,26.598337,3.127384,1.733046,3.809574,0.00009999
ckpt_e1_s6000.safetensors,1,6000,25.312220,2.939684,1.516724,3.839035,0.00009999
ckpt_e1_s7000.safetensors,1,7000,24.295756,2.977815,1.589818,3.815113,0.00009999
ckpt_e1_s8000.safetensors,1,8000,23.515839,2.919080,1.532011,3.810038,0.00009998
ckpt_e1_s9000.safetensors,1,9000,22.906736,3.085466,1.653685,3.810720,0.00009998
ckpt_e1_s10000.safetensors,1,10000,22.373989,2.866859,1.482364,3.820624,0.00009997
ckpt_e1_s11000.safetensors,1,11000,21.914474,2.808964,1.409917,3.826128,0.00009997
ckpt_e1_s12000.safetensors,1,12000,21.530451,2.771867,1.344506,3.852248,0.00009996
ckpt_e1_s13000.safetensors,1,13000,21.239341,2.837112,1.439038,3.834970,0.00009995
ckpt_e1_s14000.safetensors,1,14000,20.927299,2.842429,1.496741,3.788198,0.00009995
ckpt_e1_s15000.safetensors,1,15000,20.661856,2.726661,1.346288,3.835360,0.00009994
ckpt_e1_s16000.safetensors,1,16000,20.432534,2.728575,1.353104,3.824194,0.00009993
ckpt_e1_s17000.safetensors,1,17000,20.204317,2.608442,1.189933,3.859427,0.00009992
ckpt_e1_s18000.safetensors,1,18000,20.017403,2.722853,1.337215,3.820404,0.00009991
ckpt_e1_s19000.safetensors,1,19000,19.833537,2.671204,1.294853,3.824535,0.00009990
ckpt_e1_s20000.safetensors,1,20000,19.665998,2.658689,1.241253,3.844427,0.00009989
ckpt_e1_s21000.safetensors,1,21000,19.507989,2.557240,1.129177,3.861520,0.00009988
ckpt_e1_s22000.safetensors,1,22000,19.363425,2.580429,1.177535,3.837796,0.00009986
ckpt_e1_s23000.safetensors,1,23000,19.223555,2.561175,1.162361,3.846706,0.00009985
ckpt_e1_s24000.safetensors,1,24000,19.101768,2.510665,1.100173,3.854133,0.00009984
ckpt_e1_s25000.safetensors,1,25000,18.981526,2.685031,1.342593,3.796915,0.00009983
ckpt_e1_s26000.safetensors,1,26000,18.864954,2.591124,1.221263,3.821552,0.00009981
ckpt_e1_s27000.safetensors,1,27000,18.758729,2.572751,1.209960,3.812988,0.00009980
ckpt_e1_s28000.safetensors,1,28000,18.655933,2.522371,1.121405,3.838200,0.00009978
ckpt_e1_s29000.safetensors,1,29000,18.558525,2.599322,1.214291,3.796993,0.00009976
ckpt_e1_s30000.safetensors,1,30000,18.461656,2.479028,1.068696,3.848401,0.00009975
ckpt_e1_s31000.safetensors,1,31000,18.365918,2.501832,1.098547,3.832030,0.00009973
ckpt_e1_s32000.safetensors,1,32000,18.281598,2.491442,1.105954,3.827687,0.00009971
ckpt_e1_s33000.safetensors,1,33000,18.201694,2.460443,1.069764,3.837902,0.00009970
ckpt_e1_s34000.safetensors,1,34000,18.113340,2.461798,1.067304,3.839563,0.00009968
ckpt_e1_s35000.safetensors,1,35000,18.032898,2.495018,1.131223,3.804745,0.00009966
ckpt_e1_s36000.safetensors,1,36000,17.961243,2.418171,1.016928,3.829270,0.00009964
ckpt_e1_s37000.safetensors,1,37000,17.885119,2.546978,1.138692,3.803077,0.00009962
ckpt_e2_s38000.safetensors,2,38000,15.344338,2.588275,1.215028,3.788817,0.00009960
ckpt_e2_s39000.safetensors,2,39000,15.226322,2.476240,1.107028,3.799655,0.00009957
ckpt_e2_s40000.safetensors,2,40000,15.195317,2.380778,0.994498,3.830686,0.00009955
ckpt_e2_s41000.safetensors,2,41000,15.194129,2.601016,1.163592,3.802952,0.00009953
ckpt_e2_s42000.safetensors,2,42000,15.180589,2.456326,1.058130,3.802995,0.00009951
ckpt_e2_s43000.safetensors,2,43000,15.123744,2.475276,1.120466,3.782036,0.00009948
ckpt_e2_s44000.safetensors,2,44000,15.090752,2.423367,1.016473,3.813380,0.00009946
ckpt_e2_s45000.safetensors,2,45000,15.058578,2.403947,1.014608,3.822852,0.00009943
ckpt_e2_s46000.safetensors,2,46000,15.020700,2.423827,1.057848,3.799938,0.00009941
ckpt_e2_s47000.safetensors,2,47000,14.974949,2.375000,1.013387,3.801541,0.00009938
ckpt_e2_s48000.safetensors,2,48000,14.964055,2.316202,0.926126,3.816613,0.00009936
ckpt_e2_s49000.safetensors,2,49000,14.939894,2.370248,1.001536,3.808270,0.00009933
ckpt_e2_s50000.safetensors,2,50000,14.910123,2.468749,1.133308,3.750852,0.00009930
ckpt_e2_s51000.safetensors,2,51000,14.886027,2.270151,0.892250,3.816721,0.00009927
ckpt_e2_s52000.safetensors,2,52000,14.850578,2.304202,0.937300,3.801362,0.00009924
ckpt_e2_s53000.safetensors,2,53000,14.822575,2.343660,0.941315,3.804731,0.00009921
ckpt_e2_s54000.safetensors,2,54000,14.800823,2.336715,0.949529,3.799667,0.00009918
ckpt_e2_s55000.safetensors,2,55000,14.781818,2.336718,0.937069,3.807682,0.00009915
ckpt_e2_s56000.safetensors,2,56000,14.746953,2.344903,0.958042,3.794142,0.00009912
ckpt_e2_s57000.safetensors,2,57000,14.723887,2.433110,1.021262,3.788555,0.00009909
ckpt_e2_s58000.safetensors,2,58000,14.701668,2.286510,0.920593,3.800714,0.00009906
ckpt_e2_s59000.safetensors,2,59000,14.676285,2.331014,0.986139,3.784532,0.00009903
ckpt_e2_s60000.safetensors,2,60000,14.651546,2.318573,0.946666,3.803703,0.00009899
ckpt_e2_s61000.safetensors,2,61000,14.632227,2.315068,0.979138,3.762288,0.00009896
ckpt_e2_s62000.safetensors,2,62000,14.617279,2.293166,0.928218,3.776628,0.00009893
ckpt_e2_s63000.safetensors,2,63000,14.593459,2.433169,1.062177,3.758346,0.00009889
ckpt_e2_s64000.safetensors,2,64000,14.570717,2.392204,1.001634,3.769216,0.00009885
