ckpt_name,epoch,step,avg_loss,acc_mean,acc_median,acc_std,lr,huber_loss_delta
ckpt_e1_s1000.safetensors,1,1000,141.731892,15.880814,15.939608,2.745605,0.00001000,37.776606
ckpt_e1_s2000.safetensors,1,2000,139.827461,15.805106,15.829502,2.746273,0.00001000,37.776606
ckpt_e1_s3000.safetensors,1,3000,138.791089,15.728025,15.745817,2.759199,0.00001000,37.776606
ckpt_e1_s4000.safetensors,1,4000,138.012885,15.657773,15.683206,2.783345,0.00001000,37.776606
ckpt_e1_s5000.safetensors,1,5000,137.355437,15.583921,15.598093,2.852737,0.00001000,37.776606
ckpt_e1_s6000.safetensors,1,6000,136.726152,15.534390,15.531681,2.860862,0.00001000,37.776606
ckpt_e1_s7000.safetensors,1,7000,136.143684,15.494647,15.465757,2.881975,0.00001000,37.776606
ckpt_e1_s8000.safetensors,1,8000,135.696235,15.473164,15.451172,2.940703,0.00001000,37.776606
ckpt_e1_s9000.safetensors,1,9000,135.292927,15.446828,15.403716,2.933427,0.00001000,37.776606
ckpt_e1_s10000.safetensors,1,10000,134.897362,15.435527,15.409093,2.972267,0.00001000,37.776606
ckpt_e1_s11000.safetensors,1,11000,134.585584,15.418377,15.363664,2.947762,0.00001000,37.776606
ckpt_e1_s12000.safetensors,1,12000,134.292751,15.403526,15.356430,2.921120,0.00001000,37.776606
ckpt_e1_s13000.safetensors,1,13000,134.017869,15.384611,15.351638,2.987753,0.00001000,37.776606
ckpt_e1_s14000.safetensors,1,14000,133.763725,15.370897,15.355531,3.053477,0.00000999,37.776606
ckpt_e1_s15000.safetensors,1,15000,133.520624,15.341570,15.354450,3.003136,0.00000999,37.776606
ckpt_e1_s16000.safetensors,1,16000,133.278702,15.321641,15.374195,3.060779,0.00000999,37.776606
ckpt_e1_s17000.safetensors,1,17000,133.048363,15.310964,15.383919,3.088094,0.00000999,37.776606
ckpt_e1_s18000.safetensors,1,18000,132.833357,15.306695,15.372161,3.100992,0.00000999,37.776606
ckpt_e1_s19000.safetensors,1,19000,132.631308,15.289119,15.380690,3.071309,0.00000999,37.776606
ckpt_e1_s20000.safetensors,1,20000,132.439427,15.284564,15.377684,3.102472,0.00000999,37.776606
ckpt_e1_s21000.safetensors,1,21000,132.267777,15.281883,15.370143,3.018132,0.00000999,37.776606
ckpt_e1_s22000.safetensors,1,22000,132.099689,15.269866,15.365847,3.124345,0.00000999,37.776606
ckpt_e1_s23000.safetensors,1,23000,131.935222,15.277233,15.380211,3.203989,0.00000999,37.776606
ckpt_e1_s24000.safetensors,1,24000,131.790855,15.263180,15.363082,3.172924,0.00000998,37.776606
ckpt_e1_s25000.safetensors,1,25000,131.641422,15.250130,15.343766,3.127626,0.00000998,37.776606
ckpt_e1_s26000.safetensors,1,26000,131.509701,15.250020,15.334602,3.132590,0.00000998,37.776606
ckpt_e1_s27000.safetensors,1,27000,131.383373,15.244091,15.335796,3.146990,0.00000998,37.776606
ckpt_e1_s28000.safetensors,1,28000,131.264201,15.248669,15.331276,3.164304,0.00000998,37.776606
ckpt_e1_s29000.safetensors,1,29000,131.148914,15.245940,15.312301,3.143555,0.00000998,37.776606
ckpt_e1_s30000.safetensors,1,30000,131.039808,15.242078,15.314539,3.115959,0.00000997,37.776606
ckpt_e1_s31000.safetensors,1,31000,130.934981,15.239483,15.318611,3.132482,0.00000997,37.776606
ckpt_e1_s32000.safetensors,1,32000,130.830068,15.240230,15.322806,3.168846,0.00000997,37.776606
ckpt_e1_s33000.safetensors,1,33000,130.741327,15.234942,15.320881,3.165389,0.00000997,37.776606
ckpt_e1_s34000.safetensors,1,34000,130.654652,15.234126,15.325596,3.169913,0.00000997,37.776606
ckpt_e1_s35000.safetensors,1,35000,130.570346,15.237173,15.309944,3.139071,0.00000997,37.776606
ckpt_e1_s36000.safetensors,1,36000,130.488542,15.228195,15.285402,3.136484,0.00000996,37.776606
ckpt_e1_s37000.safetensors,1,37000,130.408136,15.234656,15.317456,3.176798,0.00000996,37.776606
ckpt_e2_s38000.safetensors,2,38000,110.246851,15.232873,15.329901,3.185774,0.00000996,37.776606
ckpt_e2_s39000.safetensors,2,39000,110.247536,15.223784,15.318116,3.138267,0.00000996,37.776606
ckpt_e2_s40000.safetensors,2,40000,110.212903,15.222948,15.311523,3.119030,0.00000996,37.776606
ckpt_e2_s41000.safetensors,2,41000,110.223819,15.224600,15.308437,3.165351,0.00000995,37.776606
ckpt_e2_s42000.safetensors,2,42000,110.201475,15.223437,15.321850,3.148202,0.00000995,37.776606
ckpt_e2_s43000.safetensors,2,43000,110.198505,15.224086,15.308475,3.187171,0.00000995,37.776606
ckpt_e2_s44000.safetensors,2,44000,110.181580,15.224524,15.336868,3.196508,0.00000995,37.776606
ckpt_e2_s45000.safetensors,2,45000,110.181727,15.224059,15.316711,3.174506,0.00000994,37.776606
ckpt_e2_s46000.safetensors,2,46000,110.178624,15.225253,15.322817,3.140584,0.00000994,37.776606
ckpt_e2_s47000.safetensors,2,47000,110.170099,15.231338,15.343702,3.160961,0.00000994,37.776606
ckpt_e2_s48000.safetensors,2,48000,110.159385,15.235807,15.347069,3.256700,0.00000994,37.776606
ckpt_e2_s49000.safetensors,2,49000,110.160749,15.229451,15.314558,3.206528,0.00000993,37.776606
ckpt_e2_s50000.safetensors,2,50000,110.156543,15.224881,15.306486,3.110127,0.00000993,37.776606
ckpt_e2_s51000.safetensors,2,51000,110.155499,15.223380,15.326912,3.162123,0.00000993,37.776606
ckpt_e2_s52000.safetensors,2,52000,110.149004,15.226406,15.320853,3.162730,0.00000992,37.776606
ckpt_e2_s53000.safetensors,2,53000,110.150661,15.222820,15.323696,3.208709,0.00000992,37.776606
ckpt_e2_s54000.safetensors,2,54000,110.145523,15.223711,15.319087,3.149581,0.00000992,37.776606
ckpt_e2_s55000.safetensors,2,55000,110.139158,15.220855,15.315957,3.174895,0.00000992,37.776606
ckpt_e2_s56000.safetensors,2,56000,110.138093,15.222409,15.310997,3.153641,0.00000991,37.776606
ckpt_e2_s57000.safetensors,2,57000,110.131827,15.223631,15.315301,3.162583,0.00000991,37.776606
ckpt_e2_s58000.safetensors,2,58000,110.125916,15.226452,15.320887,3.166537,0.00000991,37.776606
ckpt_e2_s59000.safetensors,2,59000,110.125061,15.225278,15.339067,3.169765,0.00000990,37.776606
ckpt_e2_s60000.safetensors,2,60000,110.127576,15.220047,15.309361,3.137736,0.00000990,37.776606
ckpt_e2_s61000.safetensors,2,61000,110.122790,15.222200,15.327458,3.191462,0.00000990,37.776606
ckpt_e2_s62000.safetensors,2,62000,110.115355,15.221012,15.306000,3.168609,0.00000989,37.776606
ckpt_e2_s63000.safetensors,2,63000,110.116128,15.225747,15.326018,3.142094,0.00000989,37.776606
ckpt_e2_s64000.safetensors,2,64000,110.110485,15.221946,15.317772,3.168752,0.00000989,37.776606
ckpt_e2_s65000.safetensors,2,65000,110.108667,15.233234,15.322176,3.180068,0.00000988,37.776606
ckpt_e2_s66000.safetensors,2,66000,110.107166,15.216800,15.305452,3.145955,0.00000988,37.776606
ckpt_e2_s67000.safetensors,2,67000,110.106957,15.223925,15.336781,3.191168,0.00000987,37.776606
ckpt_e2_s68000.safetensors,2,68000,110.102240,15.228628,15.334171,3.182071,0.00000987,37.776606
ckpt_e2_s69000.safetensors,2,69000,110.106006,15.219981,15.315828,3.143610,0.00000987,37.776606
ckpt_e2_s70000.safetensors,2,70000,110.099240,15.233183,15.331548,3.232377,0.00000986,37.776606
ckpt_e2_s71000.safetensors,2,71000,110.096697,15.222813,15.320947,3.168210,0.00000986,37.776606
ckpt_e2_s72000.safetensors,2,72000,110.088687,15.228831,15.324121,3.162153,0.00000986,37.776606
ckpt_e2_s73000.safetensors,2,73000,110.095241,15.220678,15.315315,3.138210,0.00000985,37.776606
ckpt_e2_s74000.safetensors,2,74000,110.089613,15.247190,15.333923,3.230544,0.00000985,37.776606
ckpt_e3_s75000.safetensors,3,75000,138.991343,15.217563,15.306012,3.169817,0.00000984,37.776606
ckpt_e3_s76000.safetensors,3,76000,138.888851,15.218864,15.302535,3.156145,0.00000984,37.776606
ckpt_e3_s77000.safetensors,3,77000,138.881560,15.217490,15.302980,3.167475,0.00000983,37.776606
ckpt_e3_s78000.safetensors,3,78000,138.881452,15.222216,15.302223,3.159386,0.00000983,37.776606
ckpt_e3_s79000.safetensors,3,79000,138.869031,15.216386,15.296234,3.183952,0.00000983,37.776606
ckpt_e3_s80000.safetensors,3,80000,138.869202,15.222411,15.310436,3.205154,0.00000982,37.776606
ckpt_e3_s81000.safetensors,3,81000,138.876329,15.222639,15.316803,3.174333,0.00000982,37.776606
ckpt_e3_s82000.safetensors,3,82000,138.856192,15.216640,15.290154,3.150019,0.00000981,37.776606
ckpt_e3_s83000.safetensors,3,83000,138.848812,15.215969,15.313427,3.204841,0.00000981,37.776606
ckpt_e3_s84000.safetensors,3,84000,138.865326,15.213759,15.291307,3.133208,0.00000980,37.776606
ckpt_e3_s85000.safetensors,3,85000,138.852345,15.217590,15.305056,3.149288,0.00000980,37.776606
ckpt_e3_s86000.safetensors,3,86000,138.843711,15.215931,15.291993,3.186040,0.00000979,37.776606
ckpt_e3_s87000.safetensors,3,87000,138.838475,15.215197,15.300239,3.177449,0.00000979,37.776606
ckpt_e3_s88000.safetensors,3,88000,138.838918,15.214487,15.312963,3.175032,0.00000978,37.776606
ckpt_e3_s89000.safetensors,3,89000,138.834759,15.213722,15.294629,3.182055,0.00000978,37.776606
ckpt_e3_s90000.safetensors,3,90000,138.832188,15.219866,15.281792,3.118156,0.00000977,37.776606
ckpt_e3_s91000.safetensors,3,91000,138.825198,15.215039,15.293798,3.143188,0.00000977,37.776606
ckpt_e3_s92000.safetensors,3,92000,138.815327,15.213372,15.286842,3.159848,0.00000976,37.776606
ckpt_e3_s93000.safetensors,3,93000,138.816892,15.217030,15.302423,3.227869,0.00000976,37.776606
ckpt_e3_s94000.safetensors,3,94000,138.820440,15.216056,15.288389,3.148662,0.00000975,37.776606
ckpt_e3_s95000.safetensors,3,95000,138.818632,15.215169,15.287720,3.159998,0.00000975,37.776606
ckpt_e3_s96000.safetensors,3,96000,138.808616,15.213334,15.290346,3.165419,0.00000974,37.776606
ckpt_e3_s97000.safetensors,3,97000,138.808713,15.214497,15.286682,3.172354,0.00000974,37.776606
ckpt_e3_s98000.safetensors,3,98000,138.809156,15.213253,15.273282,3.156076,0.00000973,37.776606
ckpt_e3_s99000.safetensors,3,99000,138.799627,15.223025,15.296915,3.225215,0.00000973,37.776606
ckpt_e3_s100000.safetensors,3,100000,138.796665,15.213886,15.297291,3.195160,0.00000972,37.776606
ckpt_e3_s101000.safetensors,3,101000,138.797394,15.217744,15.305429,3.158427,0.00000972,37.776606
ckpt_e3_s102000.safetensors,3,102000,138.788835,15.217666,15.278111,3.187800,0.00000971,37.776606
ckpt_e3_s103000.safetensors,3,103000,138.788431,15.210658,15.285293,3.179227,0.00000971,37.776606
ckpt_e3_s104000.safetensors,3,104000,138.782647,15.211447,15.278079,3.133088,0.00000970,37.776606
ckpt_e3_s105000.safetensors,3,105000,138.786567,15.216403,15.287778,3.184616,0.00000969,37.776606
ckpt_e3_s106000.safetensors,3,106000,138.787245,15.225087,15.302568,3.160686,0.00000969,37.776606
ckpt_e3_s107000.safetensors,3,107000,138.783528,15.218983,15.290471,3.123613,0.00000968,37.776606
ckpt_e3_s108000.safetensors,3,108000,138.775489,15.215383,15.299223,3.215567,0.00000968,37.776606
ckpt_e3_s109000.safetensors,3,109000,138.778945,15.211084,15.285101,3.152830,0.00000967,37.776606
ckpt_e3_s110000.safetensors,3,110000,138.775168,15.213184,15.277153,3.151671,0.00000966,37.776606
ckpt_e3_s111000.safetensors,3,111000,138.770804,15.216067,15.293068,3.204754,0.00000966,37.776606
ckpt_e4_s112000.safetensors,4,112000,116.725581,15.217216,15.276804,3.185536,0.00000965,37.776606
ckpt_e4_s113000.safetensors,4,113000,116.719693,15.214645,15.288785,3.216992,0.00000965,37.776606
ckpt_e4_s114000.safetensors,4,114000,116.659590,15.218961,15.280662,3.216056,0.00000964,37.776606
ckpt_e4_s115000.safetensors,4,115000,116.621453,15.215512,15.299978,3.241952,0.00000963,37.776606
ckpt_e4_s116000.safetensors,4,116000,116.673783,15.214602,15.273130,3.206740,0.00000963,37.776606
ckpt_e4_s117000.safetensors,4,117000,116.649252,15.228322,15.286152,3.259454,0.00000962,37.776606
ckpt_e4_s118000.safetensors,4,118000,116.627595,15.212633,15.277773,3.186130,0.00000961,37.776606
ckpt_e4_s119000.safetensors,4,119000,116.624192,15.214203,15.275313,3.184616,0.00000961,37.776606
ckpt_e4_s120000.safetensors,4,120000,116.637524,15.215891,15.282223,3.197392,0.00000960,37.776606
ckpt_e4_s121000.safetensors,4,121000,116.626928,15.218735,15.285051,3.165985,0.00000959,37.776606
ckpt_e4_s122000.safetensors,4,122000,116.632194,15.213742,15.275047,3.147301,0.00000959,37.776606
ckpt_e4_s123000.safetensors,4,123000,116.635436,15.218848,15.273199,3.234032,0.00000958,37.776606
ckpt_e4_s124000.safetensors,4,124000,116.626888,15.213578,15.283314,3.177985,0.00000957,37.776606
ckpt_e4_s125000.safetensors,4,125000,116.633195,15.212509,15.273616,3.173864,0.00000957,37.776606
ckpt_e4_s126000.safetensors,4,126000,116.626042,15.212503,15.269003,3.167830,0.00000956,37.776606
ckpt_e4_s127000.safetensors,4,127000,116.624831,15.216307,15.274048,3.210678,0.00000955,37.776606
ckpt_e4_s128000.safetensors,4,128000,116.622358,15.226281,15.278922,3.229461,0.00000955,37.776606
ckpt_e4_s129000.safetensors,4,129000,116.623864,15.211100,15.261671,3.133947,0.00000954,37.776606
ckpt_e4_s130000.safetensors,4,130000,116.618575,15.212256,15.280672,3.192430,0.00000953,37.776606
ckpt_e4_s131000.safetensors,4,131000,116.616484,15.214276,15.277119,3.177077,0.00000953,37.776606
ckpt_e4_s132000.safetensors,4,132000,116.611540,15.226016,15.299899,3.296915,0.00000952,37.776606
ckpt_e4_s133000.safetensors,4,133000,116.618158,15.216173,15.278029,3.203604,0.00000951,37.776606
ckpt_e4_s134000.safetensors,4,134000,116.616624,15.214445,15.274385,3.212315,0.00000950,37.776606
ckpt_e4_s135000.safetensors,4,135000,116.620394,15.218121,15.275383,3.209514,0.00000950,37.776606
ckpt_e4_s136000.safetensors,4,136000,116.616138,15.213309,15.286754,3.180104,0.00000949,37.776606
ckpt_e4_s137000.safetensors,4,137000,116.614957,15.220238,15.290085,3.219429,0.00000948,37.776606
ckpt_e4_s138000.safetensors,4,138000,116.616215,15.215764,15.290447,3.232617,0.00000947,37.776606
ckpt_e4_s139000.safetensors,4,139000,116.612408,15.216640,15.266611,3.142516,0.00000947,37.776606
ckpt_e4_s140000.safetensors,4,140000,116.611847,15.218907,15.270030,3.160685,0.00000946,37.776606
ckpt_e4_s141000.safetensors,4,141000,116.611012,15.214364,15.270247,3.184524,0.00000945,37.776606
ckpt_e4_s142000.safetensors,4,142000,116.608139,15.222125,15.270038,3.153132,0.00000944,37.776606
ckpt_e4_s143000.safetensors,4,143000,116.611883,15.213079,15.279934,3.193539,0.00000944,37.776606
ckpt_e4_s144000.safetensors,4,144000,116.608858,15.226002,15.286068,3.250098,0.00000943,37.776606
ckpt_e4_s145000.safetensors,4,145000,116.611915,15.219450,15.274788,3.213355,0.00000942,37.776606
ckpt_e4_s146000.safetensors,4,146000,116.609261,15.213392,15.291393,3.194300,0.00000941,37.776606
ckpt_e4_s147000.safetensors,4,147000,116.606888,15.213394,15.287536,3.225006,0.00000941,37.776606
ckpt_e4_s148000.safetensors,4,148000,116.607260,15.224455,15.292463,3.220393,0.00000940,37.776606
ckpt_e5_s149000.safetensors,5,149000,124.777968,15.217125,15.290233,3.213031,0.00000939,37.776606
ckpt_e5_s150000.safetensors,5,150000,124.814518,15.218226,15.278023,3.174810,0.00000938,37.776606
ckpt_e5_s151000.safetensors,5,151000,124.803009,15.215326,15.288983,3.168197,0.00000937,37.776606
