ckpt_name,epoch,step,avg_loss,acc_mean,acc_median,acc_std,lr,huber_loss_delta
ckpt_e1_s1000.safetensors,1,1000,47.094127,5.029243,3.237358,4.687022,0.00010000,37.776606
ckpt_e1_s2000.safetensors,1,2000,36.352835,4.757822,2.866391,4.818639,0.00010000,37.776606
ckpt_e1_s3000.safetensors,1,3000,31.766282,4.199800,2.207400,4.910405,0.00010000,37.776606
ckpt_e1_s4000.safetensors,1,4000,29.084304,3.797383,1.778031,4.992086,0.00010000,37.776606
ckpt_e1_s5000.safetensors,1,5000,27.286092,3.895843,1.857800,4.988244,0.00009999,37.776606
ckpt_e1_s6000.safetensors,1,6000,26.083773,3.652723,1.559932,5.044486,0.00009999,37.776606
ckpt_e1_s7000.safetensors,1,7000,25.086985,3.703187,1.619613,5.019217,0.00009999,37.776606
ckpt_e1_s8000.safetensors,1,8000,24.348166,3.630027,1.531670,5.051059,0.00009998,37.776606
ckpt_e1_s9000.safetensors,1,9000,23.767549,3.589160,1.534251,5.045426,0.00009998,37.776606
ckpt_e1_s10000.safetensors,1,10000,23.284349,3.668797,1.602923,5.027361,0.00009997,37.776606
ckpt_e1_s11000.safetensors,1,11000,22.880992,3.749615,1.709238,4.988016,0.00009997,37.776606
ckpt_e1_s12000.safetensors,1,12000,22.531352,3.701845,1.680537,4.993884,0.00009996,37.776606
ckpt_e1_s13000.safetensors,1,13000,22.238529,3.599414,1.537340,5.035256,0.00009995,37.776606
ckpt_e1_s14000.safetensors,1,14000,21.961833,3.535794,1.473769,5.039497,0.00009995,37.776606
ckpt_e1_s15000.safetensors,1,15000,21.740754,3.535208,1.458471,5.052938,0.00009994,37.776606
ckpt_e1_s16000.safetensors,1,16000,21.529990,3.581548,1.512738,5.040283,0.00009993,37.776606
ckpt_e1_s17000.safetensors,1,17000,21.349735,3.481691,1.392971,5.063685,0.00009992,37.776606
ckpt_e1_s18000.safetensors,1,18000,21.182304,3.483053,1.409813,5.053686,0.00009991,37.776606
ckpt_e1_s19000.safetensors,1,19000,21.011507,3.461258,1.367519,5.082385,0.00009990,37.776606
ckpt_e1_s20000.safetensors,1,20000,20.880819,3.577694,1.504278,5.021381,0.00009989,37.776606
ckpt_e1_s21000.safetensors,1,21000,20.755810,3.457908,1.359227,5.079900,0.00009988,37.776606
ckpt_e1_s22000.safetensors,1,22000,20.620798,3.469702,1.397584,5.053737,0.00009986,37.776606
ckpt_e1_s23000.safetensors,1,23000,20.511602,3.435303,1.344936,5.075425,0.00009985,37.776606
ckpt_e1_s24000.safetensors,1,24000,20.404305,3.454581,1.369193,5.062159,0.00009984,37.776606
ckpt_e1_s25000.safetensors,1,25000,20.316655,3.492829,1.381452,5.056473,0.00009983,37.776606
