ckpt_name,epoch,step,avg_loss,acc_mean,acc_median,acc_std,lr
ckpt_e2_s66000.safetensors,2,66000,14.951577,2.470468,1.132933,3.817734,0.00009878
ckpt_e2_s67000.safetensors,2,67000,14.929681,2.487014,1.153994,3.802850,0.00009875
ckpt_e2_s68000.safetensors,2,68000,14.909559,2.489161,1.153543,3.805872,0.00009871
ckpt_e2_s69000.safetensors,2,69000,14.879179,2.476644,1.151354,3.795449,0.00009867
ckpt_e2_s70000.safetensors,2,70000,14.858829,2.475044,1.137380,3.808607,0.00009863
ckpt_e2_s71000.safetensors,2,71000,14.836644,2.458135,1.128760,3.792016,0.00009859
ckpt_e2_s72000.safetensors,2,72000,14.823710,2.523438,1.194727,3.782705,0.00009855
ckpt_e2_s73000.safetensors,2,73000,14.803352,2.465767,1.140413,3.796629,0.00009851
ckpt_e2_s74000.safetensors,2,74000,14.781200,2.468788,1.138287,3.803435,0.00009847
ckpt_e3_s75000.safetensors,3,75000,14.240400,2.536190,1.187771,3.806323,0.00009843
ckpt_e3_s76000.safetensors,3,76000,14.366551,2.491698,1.167385,3.782715,0.00009839
ckpt_e3_s77000.safetensors,3,77000,14.290487,2.476429,1.133620,3.816190,0.00009834
ckpt_e3_s78000.safetensors,3,78000,14.255543,2.473526,1.152537,3.791401,0.00009830
ckpt_e3_s79000.safetensors,3,79000,14.243795,2.440031,1.108772,3.808296,0.00009826
ckpt_e3_s80000.safetensors,3,80000,14.215818,2.452020,1.132152,3.789274,0.00009821
ckpt_e3_s81000.safetensors,3,81000,14.213802,2.507362,1.171044,3.781777,0.00009817
ckpt_e3_s82000.safetensors,3,82000,14.181118,2.829031,1.492060,3.697246,0.00009812
ckpt_e3_s83000.safetensors,3,83000,14.176961,2.513910,1.173739,3.788038,0.00009808
ckpt_e3_s84000.safetensors,3,84000,14.148159,2.466423,1.136627,3.793446,0.00009803
ckpt_e3_s85000.safetensors,3,85000,14.161957,2.481297,1.153200,3.796903,0.00009798
ckpt_e3_s86000.safetensors,3,86000,14.159765,2.412360,1.097685,3.791886,0.00009794
ckpt_e3_s87000.safetensors,3,87000,14.136147,2.473667,1.145198,3.801090,0.00009789
ckpt_e3_s88000.safetensors,3,88000,14.129750,2.461783,1.149738,3.781944,0.00009784
ckpt_e3_s89000.safetensors,3,89000,14.117600,2.434430,1.124665,3.780800,0.00009779
ckpt_e3_s90000.safetensors,3,90000,14.111495,2.423340,1.104252,3.795193,0.00009774
ckpt_e3_s91000.safetensors,3,91000,14.099108,2.442729,1.121886,3.788674,0.00009769
ckpt_e3_s92000.safetensors,3,92000,14.078460,2.460409,1.153554,3.782212,0.00009764
ckpt_e3_s93000.safetensors,3,93000,14.074612,2.427594,1.110878,3.790915,0.00009759
ckpt_e3_s94000.safetensors,3,94000,14.062715,2.487092,1.159440,3.776585,0.00009754
ckpt_e3_s95000.safetensors,3,95000,14.059640,2.413690,1.107136,3.793464,0.00009749
ckpt_e3_s96000.safetensors,3,96000,14.050150,2.505270,1.160843,3.794203,0.00009743
ckpt_e3_s97000.safetensors,3,97000,14.040053,2.405406,1.107839,3.775347,0.00009738
ckpt_e3_s98000.safetensors,3,98000,14.040449,2.441458,1.115204,3.798706,0.00009733
ckpt_e3_s99000.safetensors,3,99000,14.023944,2.414227,1.100516,3.793972,0.00009727
ckpt_e3_s100000.safetensors,3,100000,14.021214,2.434755,1.118438,3.789947,0.00009722
ckpt_e3_s101000.safetensors,3,101000,14.008949,2.426650,1.111538,3.775526,0.00009716
ckpt_e3_s102000.safetensors,3,102000,14.003051,2.551691,1.255070,3.733504,0.00009711
ckpt_e3_s103000.safetensors,3,103000,13.991034,2.588812,1.284908,3.729580,0.00009705
ckpt_e3_s104000.safetensors,3,104000,13.983836,2.448243,1.149954,3.759955,0.00009699
ckpt_e3_s105000.safetensors,3,105000,13.980427,2.384798,1.087810,3.782433,0.00009694
ckpt_e3_s106000.safetensors,3,106000,13.976519,2.473163,1.148638,3.772742,0.00009688
ckpt_e3_s107000.safetensors,3,107000,13.959583,2.433283,1.103414,3.799614,0.00009682
ckpt_e3_s108000.safetensors,3,108000,13.952139,2.402840,1.107098,3.762368,0.00009676
ckpt_e3_s109000.safetensors,3,109000,13.950063,2.433565,1.123358,3.779074,0.00009670
ckpt_e3_s110000.safetensors,3,110000,13.938991,2.427993,1.127812,3.766432,0.00009664
