ckpt_name,epoch,step,avg_loss,acc_mean,acc_median,acc_std,lr
ckpt_e2_s66000.safetensors,2,66000,29.187674,2.163784,0.820555,3.761457,0.00009878
ckpt_e2_s67000.safetensors,2,67000,29.141401,2.197076,0.843245,3.751240,0.00009875
ckpt_e2_s68000.safetensors,2,68000,29.092976,2.230672,0.871188,3.743836,0.00009871
ckpt_e2_s69000.safetensors,2,69000,29.052688,2.240716,0.888391,3.743967,0.00009867
ckpt_e2_s70000.safetensors,2,70000,29.005832,2.190459,0.846136,3.749330,0.00009863
ckpt_e2_s71000.safetensors,2,71000,28.968136,2.072272,0.722178,3.762050,0.00009859
ckpt_e2_s72000.safetensors,2,72000,28.918790,2.146418,0.807010,3.752265,0.00009855
ckpt_e2_s73000.safetensors,2,73000,28.876831,2.127896,0.795380,3.743930,0.00009851
ckpt_e2_s74000.safetensors,2,74000,28.832101,2.170507,0.825395,3.734378,0.00009847
ckpt_e3_s75000.safetensors,3,75000,28.079917,2.250385,0.919325,3.707428,0.00009843
ckpt_e3_s76000.safetensors,3,76000,27.606739,2.055000,0.715198,3.743419,0.00009839
ckpt_e3_s77000.safetensors,3,77000,27.744869,2.096575,0.763116,3.741120,0.00009834
ckpt_e3_s78000.safetensors,3,78000,27.756952,2.109428,0.779261,3.734940,0.00009830
ckpt_e3_s79000.safetensors,3,79000,27.696227,2.115412,0.785144,3.730052,0.00009826
ckpt_e3_s80000.safetensors,3,80000,27.686114,2.125724,0.785464,3.735687,0.00009821
ckpt_e3_s81000.safetensors,3,81000,27.590861,2.070691,0.722701,3.737576,0.00009817
ckpt_e3_s82000.safetensors,3,82000,27.583260,2.075836,0.723044,3.732577,0.00009812
ckpt_e3_s83000.safetensors,3,83000,27.529120,2.153194,0.824107,3.717375,0.00009808
ckpt_e3_s84000.safetensors,3,84000,27.522725,2.052117,0.728092,3.719827,0.00009803
ckpt_e3_s85000.safetensors,3,85000,27.442751,2.092834,0.772313,3.710237,0.00009798
